"temp","temp contact load","Points:0","Points:1","Points:2"
-0.91208,-2.6337e-09,0.47619,0.95312,0
-0.87748,-7.8511e-10,0.49206,0.95312,0
-0.83235,-1.9341e-10,0.50794,0.95312,0
-0.7755,2.4603e-10,0.52381,0.95312,0
-0.70846,-5.3008e-10,0.53968,0.95312,0
-0.63451,1.3022e-10,0.55556,0.95312,0
-0.55679,1.078e-10,0.57143,0.95312,0
-0.47728,3.4857e-10,0.5873,0.95312,0
-0.3962,0.0065117,0.60317,0.95312,0
-0.31983,0.0091344,0.61905,0.95312,0
-0.25022,0.0098154,0.63492,0.95312,0
-0.18806,0.010423,0.65079,0.95312,0
-0.13397,0.010953,0.66667,0.95312,0
-0.088494,0.011398,0.68254,0.95312,0
-0.052073,0.011754,0.69841,0.95312,0
-0.025072,0.012018,0.71429,0.95312,0
-0.0077608,0.012187,0.73016,0.95312,0
-0.00031082,0.01226,0.74603,0.95312,0
-0.0027962,0.012236,0.7619,0.95312,0
-0.015192,0.012115,0.77778,0.95312,0
-0.037376,0.011898,0.79365,0.95312,0
-0.069126,0.011587,0.80952,0.95312,0
-0.11013,0.011186,0.8254,0.95312,0
-0.15997,0.010698,0.84127,0.95312,0
-0.21817,0.010129,0.85714,0.95312,0
-0.28413,0.0094836,0.87302,0.95312,0
-0.35721,0.0087687,0.88889,0.95312,0
-0.43668,0.0079912,0.90476,0.95312,0
-0.52175,0.007159,0.92063,0.95312,0
-0.61157,0.0062803,0.93651,0.95312,0
-0.70524,0.0053638,0.95238,0.95312,0
-0.80185,0.0044187,0.96825,0.95312,0
-0.90043,0.0034542,0.98413,0.95312,0
-1,-0.096772,1,0.95312,0
-1,0.0095137,0,0.96875,0
-1.0087,1.5885e-09,0.015873,0.96875,0
-1.0155,2.6423e-09,0.031746,0.96875,0
-1.021,3.7483e-09,0.047619,0.96875,0
-1.0255,4.6256e-09,0.063492,0.96875,0
-1.0293,4.8863e-09,0.079365,0.96875,0
-1.0324,5.1631e-09,0.095238,0.96875,0
-1.035,5.5458e-09,0.11111,0.96875,0
-1.0371,5.4926e-09,0.12698,0.96875,0
-1.0387,5.2274e-09,0.14286,0.96875,0
-1.0398,5.0711e-09,0.15873,0.96875,0
-1.0406,4.4979e-09,0.1746,0.96875,0
-1.041,3.3929e-09,0.19048,0.96875,0
-1.0409,2.5913e-09,0.20635,0.96875,0
-1.0405,1.7203e-09,0.22222,0.96875,0
-1.0397,4.0029e-10,0.2381,0.96875,0
-1.0385,-1.6174e-10,0.25397,0.96875,0
-1.0368,-6.1952e-10,0.26984,0.96875,0
-1.0347,-1.58e-09,0.28571,0.96875,0
-1.0322,-2.1861e-09,0.30159,0.96875,0
-1.0291,-2.2934e-09,0.31746,0.96875,0
-1.0254,-2.8363e-09,0.33333,0.96875,0
-1.0212,-3.4703e-09,0.34921,0.96875,0
-1.0161,-3.0894e-09,0.36508,0.96875,0
-1.0102,-2.7521e-09,0.38095,0.96875,0
-1.0033,-2.8167e-09,0.39683,0.96875,0
-0.99511,-1.9887e-09,0.4127,0.96875,0
-0.98524,-9.4442e-10,0.42857,0.96875,0
-0.97315,-1.2206e-09,0.44444,0.96875,0
-0.95791,-1.0981e-09,0.46032,0.96875,0
-0.93791,1.6507e-10,0.47619,0.96875,0
-0.91007,4.0175e-10,0.49206,0.96875,0
-0.86736,3.0688e-10,0.50794,0.96875,0
-0.80645,-1.552e-10,0.52381,0.96875,0
-0.73027,5.9368e-10,0.53968,0.96875,0
-0.64723,2.1186e-10,0.55556,0.96875,0
-0.56304,2.3455e-10,0.57143,0.96875,0
-0.47856,0.0030485,0.5873,0.96875,0
-0.3962,0.0079605,0.60317,0.96875,0
-0.31983,0.0091344,0.61905,0.96875,0
-0.25022,0.0098154,0.63492,0.96875,0
-0.18806,0.010423,0.65079,0.96875,0
-0.13397,0.010953,0.66667,0.96875,0
-0.088494,0.011398,0.68254,0.96875,0
-0.052073,0.011754,0.69841,0.96875,0
-0.025072,0.012018,0.71429,0.96875,0
-0.0077608,0.012187,0.73016,0.96875,0
-0.00031082,0.01226,0.74603,0.96875,0
-0.0027962,0.012236,0.7619,0.96875,0
-0.015192,0.012115,0.77778,0.96875,0
-0.037376,0.011898,0.79365,0.96875,0
-0.069126,0.011587,0.80952,0.96875,0
-0.11013,0.011186,0.8254,0.96875,0
-0.15997,0.010698,0.84127,0.96875,0
-0.21817,0.010129,0.85714,0.96875,0
-0.28413,0.0094836,0.87302,0.96875,0
-0.35721,0.0087687,0.88889,0.96875,0
-0.43668,0.0079912,0.90476,0.96875,0
-0.52175,0.007159,0.92063,0.96875,0
-0.61157,0.0062803,0.93651,0.96875,0
-0.70524,0.0053638,0.95238,0.96875,0
-0.80185,0.0044187,0.96825,0.96875,0
-0.90043,0.0034542,0.98413,0.96875,0
-1,-0.096772,1,0.96875,0
-1,0.0057207,0,0.98438,0
-1.005,7.9466e-10,0.015873,0.98438,0
-1.0086,1.3214e-09,0.031746,0.98438,0
-1.0115,1.8581e-09,0.047619,0.98438,0
-1.0138,2.2753e-09,0.063492,0.98438,0
-1.0157,2.3803e-09,0.079365,0.98438,0
-1.0173,2.5033e-09,0.095238,0.98438,0
-1.0186,2.6504e-09,0.11111,0.98438,0
-1.0196,2.5432e-09,0.12698,0.98438,0
-1.0205,2.3996e-09,0.14286,0.98438,0
-1.021,2.3092e-09,0.15873,0.98438,0
-1.0214,1.9329e-09,0.1746,0.98438,0
-1.0216,1.3665e-09,0.19048,0.98438,0
-1.0216,1.0063e-09,0.20635,0.98438,0
-1.0214,5.4752e-10,0.22222,0.98438,0
-1.021,-1.155e-10,0.2381,0.98438,0
-1.0204,-3.325e-10,0.25397,0.98438,0
-1.0195,-5.9661e-10,0.26984,0.98438,0
-1.0185,-1.1659e-09,0.28571,0.98438,0
-1.0172,-1.3771e-09,0.30159,0.98438,0
-1.0156,-1.4506e-09,0.31746,0.98438,0
-1.0138,-1.9312e-09,0.33333,0.98438,0
-1.0116,-2.1081e-09,0.34921,0.98438,0
-1.0091,-1.7161e-09,0.36508,0.98438,0
-1.0061,-1.7031e-09,0.38095,0.98438,0
-1.0026,-1.7595e-09,0.39683,0.98438,0
-0.99836,-1.0366e-09,0.4127,0.98438,0
-0.99329,-5.5782e-10,0.42857,0.98438,0
-0.987,-1.235e-09,0.44444,0.98438,0
-0.97895,-5.917e-10,0.46032,0.98438,0
-0.96808,2.7972e-10,0.47619,0.98438,0
-0.95204,-5.8972e-10,0.49206,0.98438,0
-0.92467,-1.9339e-09,0.50794,0.98438,0
-0.85096,0.09596,0.52381,0.98438,0
-0.75324,0.22831,0.53968,0.98438,0
-0.65798,0.3397,0.55556,0.98438,0
-0.56612,0.4414,0.57143,0.98438,0
-0.47856,0.53454,0.5873,0.98438,0
-0.3962,0.61978,0.60317,0.98438,0
-0.31983,0.69785,0.61905,0.98438,0
-0.25022,0.76901,0.63492,0.98438,0
-0.18806,0.83256,0.65079,0.98438,0
-0.13397,0.88786,0.66667,0.98438,0
-0.088494,0.93435,0.68254,0.98438,0
-0.052073,0.97159,0.69841,0.98438,0
-0.025072,0.99919,0.71429,0.98438,0
-0.0077608,1.0169,0.73016,0.98438,0
-0.00031082,1.0245,0.74603,0.98438,0
-0.0027962,1.022,0.7619,0.98438,0
-0.015192,1.0093,0.77778,0.98438,0
-0.037376,0.98661,0.79365,0.98438,0
-0.069126,0.95415,0.80952,0.98438,0
-0.11013,0.91223,0.8254,0.98438,0
-0.15997,0.86127,0.84127,0.98438,0
-0.21817,0.80178,0.85714,0.98438,0
-0.28413,0.73434,0.87302,0.98438,0
-0.35721,0.65963,0.88889,0.98438,0
-0.43668,0.57839,0.90476,0.98438,0
-0.52175,0.49142,0.92063,0.98438,0
-0.61157,0.39959,0.93651,0.98438,0
-0.70524,0.30382,0.95238,0.98438,0
-0.80185,0.20505,0.96825,0.98438,0
-0.90043,0.10427,0.98413,0.98438,0
-1,-0.063579,1,0.98438,0
-1,0.0022949,0,1,0
-1,0.0058696,0.015873,1,0
-1,0.0097516,0.031746,1,0
-1,0.012722,0.047619,1,0
-1,0.015123,0.063492,1,0
-1,0.017097,0.079365,1,0
-1,0.018724,0.095238,1,0
-1,0.020053,0.11111,1,0
-1,0.02112,0.12698,1,0
-1,0.021946,0.14286,1,0
-1,0.022549,0.15873,1,0
-1,0.02294,0.1746,1,0
-1,0.023125,0.19048,1,0
-1,0.023109,0.20635,1,0
-1,0.022893,0.22222,1,0
-1,0.022473,0.2381,1,0
-1,0.021845,0.25397,1,0
-1,0.021,0.26984,1,0
-1,0.019926,0.28571,1,0
-1,0.018607,0.30159,1,0
-1,0.01702,0.31746,1,0
-1,0.015137,0.33333,1,0
-1,0.012919,0.34921,1,0
-1,0.010312,0.36508,1,0
-1,0.0072461,0.38095,1,0
-1,0.0036198,0.39683,1,0
-1,-0.00071437,0.4127,1,0
-1,-0.0059821,0.42857,1,0
-1,-0.012552,0.44444,1,0
-1,-0.021081,0.46032,1,0
-1,-0.032907,0.47619,1,0
-1,-0.051256,0.49206,1,0
-1,-0.090733,0.50794,1,0
-1,-0.15817,0.52381,1,0
-1,-0.24862,0.53968,1,0
-1,-0.34508,0.55556,1,0
-1,-0.43809,0.57143,1,0
-1,-0.52674,0.5873,1,0
-1,-0.61015,0.60317,1,0
-1,-0.68748,0.61905,1,0
-1,-0.75796,0.63492,1,0
-1,-0.8209,0.65079,1,0
-1,-0.87566,0.66667,1,0
-1,-0.92171,0.68254,1,0
-1,-0.95859,0.69841,1,0
-1,-0.98593,0.71429,1,0
-1,-1.0035,0.73016,1,0
-1,-1.011,0.74603,1,0
-1,-1.0085,0.7619,1,0
-1,-0.99594,0.77778,1,0
-1,-0.97347,0.79365,1,0
-1,-0.94133,0.80952,1,0
-1,-0.89981,0.8254,1,0
-1,-0.84934,0.84127,1,0
-1,-0.79041,0.85714,1,0
-1,-0.72362,0.87302,1,0
-1,-0.64962,0.88889,1,0
-1,-0.56916,0.90476,1,0
-1,-0.48302,0.92063,1,0
-1,-0.39207,0.93651,1,0
-1,-0.29722,0.95238,1,0
-1,-0.19939,0.96825,1,0
-1,-0.099578,0.98413,1,0
-1,-0.032573,1,1,0
